Area da unidade territorial  2016,Estabelecimentos de Saude SUS,Indice de Desenvolvimento Humano Municipal  2010 IDHM 2010,Matricula  Ensino fundamental  2015,Matricula  Ensino medio  2015,Numero de unidades locais,Pessoal ocupado total,PIB per capita a precos correntes  2014,Populacao residente ,Populacao residente  Homens,Populacao residente  Mulheres,Populacao residente alfabetizada,Populacao residente que frequentava creche ou escola ,Populacao residente religiao catolica apostolica romana,Populacao residente religiao espirita,Populacao residente religiao evangelicas,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Rural,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Urbana,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Rural,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Urbana,Cidade
1258.660,50,0.706,11635,3317,2864,19713,14666.61,85239,41671,43568,71306,23633,57648,637,21461,255.00,500.00,1085.09,2119.78,Caratinga
1456.095,7,0.638,1385,479,236,1716,15498.61,9148,4682,4466,6990,3046,8144,16,748,253.88,350.00,782.80,1296.76,Carbonita
181.009,3,0.683,862,219,196,1091,16752.43,6298,3223,3075,5077,1682,4724,60,1288,370.00,466.00,1314.75,1703.46,Careacu
3202.984,18,0.648,2707,749,320,2530,16131.76,20069,10007,10062,14829,6271,15433,242,3340,255.00,343.00,960.50,1680.32,Carlos Chagas
259.103,3,0.650,399,107,37,344,9349.89,2446,1219,1227,1931,781,1856,-,554,267.50,400.00,1175.02,1484.91,Carmesia
506.333,7,0.655,1778,429,249,1392,16123.93,11836,5976,5860,9817,3505,10148,113,1056,437.50,455.00,1479.19,1950.30,Carmo da Cachoeira
357.178,9,0.689,1347,392,286,2268,13899.88,10927,5452,5475,9455,2820,9834,193,696,480.00,510.00,1380.43,1802.44,Carmo da Mata
322.285,14,0.682,1731,433,277,1518,11548.03,13750,6895,6855,11417,4198,10817,35,2414,260.50,440.00,1049.54,2075.97,Carmo de Minas
455.808,7,0.710,2928,936,536,4398,16486.88,20012,10030,9982,17385,5855,17694,78,1646,510.00,510.00,1522.13,1971.20,Carmo do Cajuru
1307.862,13,0.705,3543,1038,826,5074,18152.79,29735,15052,14683,25418,7776,25357,311,3161,454.80,510.00,2151.22,2026.32,Carmo do Paranaiba
1065.685,13,0.733,2499,758,726,3183,16050.37,20426,10483,9943,17427,5130,18150,94,1696,375.00,510.00,1684.14,2334.19,Carmo do Rio Claro
